Academia Cultural de Curitiba | ACCUR
Companhia de Pescas Oceânicas do Maranhão | Oceomar
Companhia de Promoção Agrícola | Campo
Companhia de Saneamento Básico do Estado de São Paulo | Sabesp
Companhia de Saneamento de Mato Grosso | Sanemat
Companhia de Saneamento de Minas Gerais | Copasa
Companhia de Telecomunicações de São Paulo | Telesp
Companhia de Telecomunicações do Paraná | Telepar 
Companhia do Desenvolvimento Industrial | Codin
Comunidade dos Países de Língua Portuguesa | CPLP
Confederação Brasileira de Desportos | CBD
Confederação Brasileira de Futebol | CBF
Confederação Geral dos Trabalhadores | CGT
Confederação Nacional da Indústria | CNI
Confederação Nacional das Indústrias | CNI
Confederação Nacional de Agricultura | CNA
Confederação Nacional do Comércio | CNC
Confederação Nacional dos Bispos do Brasil | CNBB
Confederação Nacional dos Municípios | CNM
Confederação Nacional dos Trabalhadores em Educação | CNTE
Confederação Nacional dos Trabalhadores em Empresas de Crédito | Contec
Confederação Nacional dos Trabalhadores em Estabelecimentos de Crédito | Contec
Confederação Nacional dos Trabalhadores em Saúde | CNTS
Confederação Nacional dos Trabalhadores em Transportes Marítimos, Fluviais e Aéreos | CNTTMFA
Confederação Nacional dos Trabalhadores em Transportes Terrestres | CNTTT
Confederação Nacional dos Trabalhadores em Turismo e Hospitalidade | CONTRATUH
Confederação Nacional dos Trabalhadores na Agricultura | Contag
Confederação Nacional dos Trabalhadores na Indústria | CNTI
Confederação da Agricultura e Pecuária do Brasil | CNA
Confederação das Associações Comerciais do Brasil | CACB
Confederação de Professores do Brasil | CPB
Conselho Americano do Esporte | CADE
Conselho Consultivo Internacional | International Advisor Board
Conselho Consultivo da Associação Cultural do Arquivo Nacional | ACAN
Conselho Estadual do Meio Ambiente | COEMA
Conselho Estadual do Meio Ambiente | Cemam
Conselho Nacional de Desportos | CND
Conselho Nacional de Pesquisa | CNPq
Conselho Nacional de Petróleo | CNP
Conselho Nacional de Secretários de Saúde | Conass
Conselho Nacional de Segurança Pública | Conasp
Conselho Nacional de Telecomunicações | Contel 
Conselho Nacional de Transito | CONTRAN
Conselho Nacional do Café | CNC  
Conselho Nacional do Petróleo | CNP
Conselho Nacional dos Secretários de Saúde | Conass
Conselho Regional de Engenharia e Arquitetura | CREA
Conselho Regional de Medicina | CRM
Conselho de Desenvolvimento Econômico e Social da Presidência da República | CDES
Conselho de Política Aduaneira | CPA
Cooperativa Habitacional | Cohab 
Cooperativa dos Plantadores de Cana | Coplana 
Coordenação do Desenvolvimento de Brasília | Codebrás
Câmara Brasileira da Indústria da Construção | CBIC
Câmara dos Dirigentes Lojistas | CDL
Democratas | DEM
Departamento Estadual de Telecomunicações | Detel
Departamento Nacional do Café | DNC
Diretório Central de Estudantes | DCE
Diretório Central dos Estudantes | DCE 
Empresa Brasileira de Correios e Telegráfos | ECT
Empresa Brasileira de Radiodifusão | Radiobrás
Empresa Brasileira de Telecomunicações | Embratel
Empresa Brasileira de Transportes Urbanos | EBTU
Empresa Brasileira de Turismo | Embratur
Empresa Distribuidora de Energia em Sergipe | Energipe
Empresa Municipal de Urbanismo | Emurb
Empresa Paraibana de Turismo | Paraibatur
Empresa Teresinense de Desenvolvimento Urbano | Eturb
Empresa de Desenvolvimento Urbano e Habitacional | EMUHR
Federação Acreana de Desportos | FAD
Federação Agrícola do Estado de São Paulo 
Federação Alagoana de Desporto Universitário | Fadu
Federação Brasileira dos Bancos | Febraban
Federação Latino-Americana de Magistrados | FLAM
Federação Nacional dos Jornalistas Profissionais | Fenag
Federação Nacional dos Trabalhadores Gráficos | FNTG
Federação Tocantinense de Futebol | FTF
Federação Universitária Mineira dos Estudantes | FUME
Federação das Indústrias do Ceará | FIEC
Federação das Indústrias do Distrito Federal | FIDF
Federação das Indústrias do Estado da Bahia | FIEB
Federação das Indústrias do Estado de Goiás | Fieg
Federação das Indústrias do Estado de Minas Gerais | FIEMG
Federação das Indústrias do Estado de Pernambuco | FIEP
Federação das Indústrias do Estado de Santa Catarina | FIESC
Federação das Indústrias do Estado do Amazonas | Fieam
Federação das Indústrias do Estado do Paraná | FIEP
Federação das Indústrias do Estado do Pará | Fiepa
Federação das Indústrias do Rio Grande do Norte
Federação das Indústrias do Rio de Janeiro | Firjan
Financiadora de Estudos e Projetos | Finep
Football International Federations Association | FIFA
Fórum Nacional de Representantes dos Estados | Fonare
Frente Nacional de Prefeitos | FNP
Frente Nacional dos Prefeitos | FNP
Frente Parlamentar Nacionalista | FPN
Frente Parlamentar contra a Prostituição Infantil
Frente Parlamentar da Agropecuária | FPA 
Frente Parlamentar de Cooperativismo | Frencoop
Fundação Alexandre Gusmão | Funag
Fundação Biblioteca Nacional | FBN
Fundação Centro Tecnológico de Minas Gerais | Cetec
Fundação Educacional Edson Queirós | Unifor
Fundação Educacional de Gurupi | FEG
Fundação Estadual de Educação do Menor | FEEM
Fundação Gaúcha de Lazer e Recreação | Funlar
Fundação Municipal de Trabalho | FUNDAT 
Fundação Nacional da Saúde | Funasa
Fundação Nacional de Arte | Funarte 
Fundação Nacional do Índio | Funai 
Fundação Rede Ferroviária de Seguridade Social | Refer
Fundação Social de Curitiba | FAS 
Fundação Ulysses Guimarães | FUG
Fundação Universidade Estadual de Campinas | Funcamp
Fundação de Assistência ao Estudante | FAE
Fundação do Ensino Primário | Fundeprim
Fórum Interparlamentar das Américas | FIPA
Fórum Nacional de Secretários de Trabalho | Fonset
Grêmio Recreativo Escola de Samba | Gres 
Indústria Brasileira de Coque | Ibracoque
Indústria Nacional de Pescados | Inpesca
Instituto Brasileiro de Atuária | IBA
Instituto Brasileiro de Bibliografia e Documentação | IBBD
Instituto Brasileiro de Desenvolvimento Florestal | IBDF
Instituto Brasileiro de Economia | Ibre 
Instituto Brasileiro de Geografia e Estatística | IBGE
Instituto Brasileiro de Mercado de Capitais | Ibmec
Instituto Brasileiro de Reforma Agrária | IBRA
Instituto Brasileiro de Siderurgia | IBS
Instituto Brasileiro de Ética Concorrencial | ETCO
Instituto Brasileiro do Café | IBC
Instituto Brasileiro do Petróleo
Instituto Brasiliense de Direito Público | IDP
Instituto Histórico e Geográfico Brasileiro | IHGB
Instituto Nacional Colonização e Reforma Agrária | INCRA
Instituto Nacional da Previdência Social | INPS
Instituto Nacional da Previdência Social | INPS 
Instituto Nacional de Imigração e Colonização | INIC
Instituto Nacional de Previdência Social | INPS
Instituto Nacional de Propriedade Industrial | INPI 
Instituto Nacional de Reforma Agrária | INCRA
Instituto Tancredo Neves | ITN
Instituto da Previdência dos Congressistas | IPC
Instituto de Arquitetos do Brasil | IAB 
Instituto de Desenvolvimento Comunitário | Indec
Instituto de Engenharia do Paraná | IEP
Instituto de Pesquisas Econômicas Aplicadas | IPEA
Instituto de Planejamento Urbano de Joinville | Ipuj
Instituto de Previdência de Mato Grosso | Ipmat
Instituto de Previdência do Estado | IPE
Instituto de Previdência dos Congressistas | IPC
Instituto de Resseguros do Brasil | IRB
Instituto de Seleção e Orientação Profissional | ISOP
Instituto de Terras de Mato Grosso | Intermat
Instituto do Açúcar e do Álcool | IAA
Instituto dos Advogados Brasileiros | IAB
Instituto dos Arquitetos da Bahia | IAB
International Political Science Association | IPSA
International Sociological Association | ISA
Juventude Universitária Católica | JUC
Legião Brasileira de Assistência | LBA
Legião da Mulher Paraense | Lempa 
Liga de Defesa Nacional | LDN
Lions Clube de Inhumas | GO
Lions Clube de Paraíba do Sul | RJ
Listas Telefônicas Brasileiras
Loteria Estadual do Maranhão | Lotema
Loteria Estadual do Rio de Janeiro | Loterj
Loteria do Estado do Rio | Loterj
Loteria do Estado do Rio de Janeiro 
Loteria do Rio de Janeiro | Loterj
Movimento Democrático Brasileiro | MDB 
Movimento Feminino pela Anistia | MFA
Movimento Nacional de Luta pela Moradia | MNLM
Movimento Unificador dos Trabalhadores | MUT
Museu de Arte Moderna | MAM
Novacap | Companhia Urbanizadora da Nova Capital
Nucleares Brasileiras | Nuclebrás
Operador Nacional do Sistema Elétrico | ONS
Organização das Cooperativas Brasileiras | OCB
Organização das Cooperativas do Paraná | Ocepar
Organização das Voluntárias de Goiás | OVG
Organização dos Estados Americanos | OEA
Parlamento Latino-Americano | Parlatino 
Partido Comunista Italiano | PCI
Partido Democrata Cristão | PDC
Partido Democrático Trabalhista | PDT
Partido Geral dos Trabalhadores | PGT
Partido Liberal (PL
Partido Libertador | PL
Partido Municipalista Brasileiro | PMB
Partido Nacional Socialista do Piauí
Partido Popular | PP
Partido Popular Socialista | PPS 
Partido Progressista Mineiro | PP
Partido Progressita | PP
Partido Republicano Liberal | PRL
Partido Republicano Mineiro | PRM
Partido Republicano Rio-Grandense | PRR
Partido Social Democrático | PSD 
Partido Social Progressista | PSP
Partido Social Trabalhista | PST
Partido Trabalhista Brasileiro | PTB
Partido Trabalhista Brasileiro | PTB-RJ
Partido da Frente Liberal | PFL 
Partido da Social Democracia Brasileira | PSDB
Partido do Movimento Democrático Brasileiro | PMDB
Partido dos Democratas | DEM
Partido dos Trabalhadores | PT
Programa Estadual de Desestatização | PED
Saneamento do Rio de Janeiro | Sanerj
Serviço Social do Comércio | Sesc
Serviço Nacional de Aprendizagem Comercial Departamento Nacional | Senac 
Sindicato Nacional daAeroviárias | SNEA
Sindicato da Indústria Têxtil do Estado de São Paulo | Sinditextil/SP
Sindicato da Indústria de Construção Civil | SINDUSCON
Sindicato do Comércio Varejista de Marília | SCVM
Sindicato dos Fabricantes de Autopeças | Sindipeças
Sistema Federação das Indústrias do Paraná | Fiep
Sociedade Brasileira de Economistas Rurais | Sober
Sociedade Brasileira de Instrução | SBI
Sociedade Evangélica Beneficente de Curitiba | Seb
Sociedade Habitacional de Interesse Social | SHIS
Sociedade Mineira de Engenheiros | SME
Sociedade Nacional de Agricultura | SNA
Sociedade Paulista de Instalações Gerais | SPIG
Sociedade Rural Brasileira | SRB
Sociedade Termoelétrica de Capivari | Solteca
Superintendência da Política Agrária | Supra
Supremo Tribunal Federal | STF
Supremo Tribunal de Justiça | STJ
Telecomuicações de Santa Catarina | TELESC
Telecomunicações da Paraíba | Telpa
Telecomunicações de Campina Grande | Telingra
Telecomunicações de Santa Catarina | Telesc
Telecomunicações do Rio de Janeiro | Telerj
Tribunal Regional Eleitoral | TRE 
Tribunal Regional Federal | TRF 
Tribunal Regional de Trabalho | TRT 
Tribunal Superior Eleitoral | TSE
Tribunal de Segurança Nacional | TSN
União Brasileira de Avicultura | UBA
União Brasileira de Estudantes Secundaristas | UBES
União Brasileira de Estudantes Secundários | UBES
União Campograndense dos Estudantes | UCE
União Caxiense de Estudantes | UCE
União Democrática Nacional | UDN
União Democrática Ruralista | UDR
União Estadual de Estudantes | UEE 
União Feminina do Brasil | UFB
União Geral dos Trabalhadores | UGT
União Internacional dos Arquitetos | UIA
União Maranhense dos Estudantes Secundaristas | UMES
União Metropolitana de Estudantes | UME
União Nacional Estudantil | UNE
União Nacional dos Legislativos Estaduais | Unale
União Parlamentar Interestadual | UPI
União Republicana Maranhense | URM
União da Juventude Socialista | UJS
União das Associações Agropecuárias do Brasil Central
União das Cidades Capitais Ibero-Americanas | UCCI
União de Negócios e Administração | UNA
União dos Estudantes da Bahia | UEB
União dos Prefeitos da Bahia | UPB
Universidade de São Paulo | USP
Universidade Estadual de Campinas | UNICAMP
Universidade Federal do Rio Grande do Sul | UFRGS
Universidade Federal do Rio de Janeiro | UFRJ
Universidade Estadual Paulista Júlio de Mesquita Filho | UNESP
Universidade Federal de Minas Gerais | UFMG
Universidade Federal de Santa Catarina | UFSC
Universidade Federal do Paraná | UFPR
Universidade de Brasília | UNB
Universidade Federal Fluminense | UFF
Universidade Federal da Bahia | UFBA
Universidade Federal de São Paulo | UNIFESP
Universidade Federal do Ceará | UFC
Universidade do Estado do Rio de Janeiro | UERJ
Universidade Federal de Pernambuco | UFPE
Pontificia Universidade Católica do Rio de Janeiro | PUC-RIO
Universidade Federal do Rio Grande do Norte | UFRN
Universidade Federal do Pará | UFPA
Universidade Federal de Goiás | UFG
Universidade Federal de São Carlos | UFSCAR
Pontificia Universidade Católica do Rio Grande do Sul | PUCRS
Universidade Federal de Santa Maria | UFSM
Universidade Estadual de Maringá | UEM
Universidade Federal da Paraíba | UFPB
Universidade Estadual de Londrina | UEL
Universidade Federal de Viçosa | UFV
Universidade Federal de Uberlândia | UFU
Universidade Federal do Amazonas | UFAM
Fundação Getulio Vargas | FGV
Universidade Estadual de Montes Claros | UNIMONTES
Pontificia Universidade Católica do Paraná | PUCPR
Universidade Federal de Juiz de Fora | UFJF
Universidade Federal do ABC | UFABC
Universidade Federal do Espírito Santo | UFES
Universidade Federal de Lavras | UFLA
Universidade Federal de Pelotas | UFPEL
Universidade Federal de Campina Grande | UFCG
Universidade Federal Rural de Pernambuco | UFRPE
Universidade do Vale do Rio dos Sinos | UNISINOS
Universidade Federal de Mato Grosso do Sul | UFMS
Universidade Federal de Ouro Preto | UFOP
Universidade Tecnológica Federal do Paraná | UTFRP
Universidade do Estado de Santa Catarina | UDESC
Universidade Federal do Rio Grande | FURG
Universidade de Santa Cruz do Sul | UNISC
Pontificia Universidade Católica do Minas Gerais | PUC-MINAS
Universidade Federal de Mato Grosso | UFMT
Universidade Federal de São João del Rei | UFSJ
Universidade Federal de Sergipe | UFS
Universidade Federal do Maranhão | UFMA
Universidade Estadual de Ponta Grossa | UEPG
Pontificia Universidade Católica de São Paulo | PUC-SP
Universidade Federal do Piauí | UFPI
Universidade Estadual do Oeste do Paraná | UNIOSTE
Universidade Católica de Brasilia | UCB
Universidade de Passo Fundo | UPF
Universidade Federal Rural do Rio de Janeiro | UFRRJ
Universidade Estadual de Feira de Santana | UEFS
Universidade Nove de Julho | UNINOVE
Universidade de Caxias do Sul | UCS
Universidade Estadual da Paraíba | UEPB
Universidade Estadual do Ceará | UECE
Instituto Tecnológico de Aeronáutica | ITA
Universidade Luterana do Brasil |UL BRA
Universidade do Estado da Bahia | UNEB
Universidade do Vale do Itajaí | UNIVALI
Faculdade de Medicina de São José do Rio Preto | FAMERP
Faculdade de Ciências Médicas da Santa Casa de São Paulo | FCMSCSP
Pontificia Universidade Católica do Campinas | PUC-CAMPINAS
Universidade Federal Rural da Amazônia | UFRA
Universidade Federal do Estado do Rio de Janeiro | UNIRIO
Universidade Federal de Itajubá | UNIFEI
Universidade Federal de Alagoas | UFAL
Universidade do Sul de Santa Catarina | UNISUL
Universidade de Fortaleza | UNIFOR
Universidade Estadual do Sudoeste da Bahia | UESB
Universidade Regional de Blumenau | FURB
Universidade Estadual de Santa Cruz | UESC
Universidade de Pernambuco | UPE
Universidade do Extremo Sul Catarinense | UNESC
Universidade Federal do Pampa | UNIPAMPA
Universidade Federal dos Vales do Jequitinhonha e Mucuri | UFVJM
Universidade Estadual do Norte Fluminense Darcy Ribeiro | UENF
Centro Federal de Educacão Tecnológica de Minas Gerais | CEFET-MG
Universidade Estadual de Goiás | UEG 
Universidade Federal do Recôncavo da Bahia | UFRB
Universidade Estadual do Centro Oeste | UNICENTRO
Universidade do Estado de Mato Grosso | UNEMAT
Universidade Federal de Alfenas | UNIFAL-MG
Universidade Veiga de Almeida | UVA
Universidade Federal de Rondônia | UNIR
Universidade Federal da Grande Dourados | UFGD
Universidade Paulista | UNIP
Universidade Federal do Tocantins | UFT
Universidade Federal do Vale do São Francisco | UNIVASF
Universidade Federal do Acre | UFAC
Usina Siderúrgica de Minas Gerais | Usiminas
Vale do Rio Doce Navegação | Docenave
Viação Aérea São Paulo | VASP
